,BookingID,LeadTime,ArrivalYear,ArrivalMonth,ArrivalDate,NumWeekendNights,NumWeekNights,MealPlan,Parking,RoomType,NumAdults,NumChildren,MarketSegment,RepeatedGuest,NumPrevCancellations,NumPreviousNonCancelled,AvgRoomPrice,SpecialRequests,BookingStatus
15,29035,46,2018,3,4,1,2,Meal Plan 1,1,Room_Type 4,2,0,Online,0,0,0,98.3,1,Canceled
16,29036,188,2018,6,15,0,2,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,130.0,0,Not_Canceled
17,29037,118,2018,4,13,0,4,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,90.95,1,Canceled
18,29038,189,2018,10,23,1,0,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,85.5,2,Canceled
19,29039,40,2018,6,30,2,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,117.9,1,Canceled
20,29040,123,2018,8,13,2,2,Meal Plan 1,1,Room_Type 4,3,0,Online,0,0,0,155.7,1,Canceled
21,29041,68,2018,4,24,2,0,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,133.2,2,Canceled
22,29042,30,2018,3,30,0,2,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,85.5,0,Canceled
23,29043,1,2018,10,20,0,2,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,135.0,2,Canceled
24,29044,11,2017,10,9,0,1,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,155.0,2,Canceled
25,29045,27,2018,4,15,2,4,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,142.72,0,Not_Canceled
26,29046,13,2018,5,9,1,2,Meal Plan 1,0,Room_Type 1,1,0,Offline,0,0,0,90.0,0,Canceled
27,29047,39,2018,3,28,1,0,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,117.9,1,Canceled
28,29048,112,2018,5,4,0,4,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,101.58,1,Canceled
29,29049,280,2018,9,19,1,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,110.0,0,Not_Canceled
30,29050,196,2018,8,22,1,5,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,99.45,0,Not_Canceled
31,29051,273,2018,5,13,1,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,95.0,0,Not_Canceled
32,29052,111,2018,5,2,1,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,101.58,1,Canceled
33,29053,34,2018,8,21,2,3,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,85.0,0,Canceled
34,29054,4,2017,9,22,0,1,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,145.0,2,Canceled
35,29055,195,2018,8,13,2,1,Meal Plan 1,0,Room_Type 1,3,0,Online,0,0,0,106.03,1,Not_Canceled
36,29056,13,2018,12,5,1,1,Not Selected,0,Room_Type 1,1,0,Online,0,0,0,88.0,0,Canceled
37,29057,78,2018,3,20,2,5,Meal Plan 1,0,Room_Type 4,2,1,Online,0,0,0,86.32,1,Canceled
38,29058,335,2018,10,13,0,3,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,90.0,1,Canceled
39,29059,103,2017,8,22,2,5,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,55.96,0,Not_Canceled
40,29060,4,2017,9,19,2,2,Meal Plan 1,0,Room_Type 6,1,2,Online,0,0,0,200.75,2,Canceled
41,29061,15,2018,3,18,0,2,Meal Plan 1,0,Room_Type 1,2,1,Online,0,0,0,127.0,1,Canceled
42,29062,36,2018,12,26,1,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,102.0,0,Not_Canceled
43,29063,35,2018,12,2,2,2,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,74.8,2,Canceled
44,29064,79,2018,6,16,2,4,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,120.6,0,Canceled
45,29065,33,2018,2,8,1,0,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,80.3,1,Canceled
46,29066,0,2017,11,9,1,3,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,91.0,1,Canceled
47,29067,43,2017,10,2,2,3,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,58.4,0,Canceled
48,29068,102,2017,10,16,0,2,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,101.5,0,Not_Canceled
49,29069,57,2018,12,9,0,2,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,126.0,2,Canceled
50,29070,167,2018,6,28,0,4,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,62.18,0,Not_Canceled
51,29071,113,2018,9,7,1,4,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,118.8,0,Not_Canceled
52,29072,1,2018,8,10,0,2,Not Selected,1,Room_Type 1,2,0,Online,0,0,0,167.0,0,Canceled
53,29073,128,2017,8,8,1,1,Meal Plan 1,0,Room_Type 1,2,1,Online,0,0,0,76.5,2,Canceled
54,29074,118,2018,4,3,2,1,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,87.3,1,Canceled
55,29075,41,2017,9,4,0,1,Meal Plan 2,0,Room_Type 1,1,0,Offline,0,0,0,83.0,0,Canceled
56,29076,68,2018,1,2,2,1,Meal Plan 1,0,Room_Type 1,2,0,Offline,1,1,0,63.0,1,Canceled
57,29077,189,2018,10,28,1,2,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,109.8,0,Not_Canceled
58,29078,95,2017,12,29,0,4,Meal Plan 1,0,Room_Type 4,2,0,Offline,0,0,0,60.5,0,Canceled
59,29079,83,2017,9,30,0,1,Meal Plan 2,0,Room_Type 1,2,0,Offline,0,0,0,112.2,0,Canceled
60,29080,37,2018,8,1,1,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,135.9,0,Not_Canceled
61,29081,151,2018,7,9,2,5,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,103.09,0,Not_Canceled
62,29082,79,2018,6,24,0,2,Meal Plan 2,0,Room_Type 1,2,0,Offline,0,0,0,109.0,0,Canceled
63,29083,245,2018,6,17,0,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,75.0,0,Not_Canceled
64,29084,273,2017,7,17,0,2,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,109.0,0,Not_Canceled
65,29085,110,2017,7,25,2,1,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,94.5,0,Not_Canceled
66,29086,127,2018,6,26,2,2,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,103.7,1,Canceled
67,29087,11,2018,7,5,2,6,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,145.0,0,Not_Canceled
68,29088,1,2018,2,28,2,1,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,60.0,0,Not_Canceled
69,29089,50,2018,2,22,1,4,Meal Plan 1,0,Room_Type 1,3,0,Online,0,0,0,78.85,1,Canceled
70,29090,39,2018,8,13,2,3,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,170.1,2,Canceled
71,29091,386,2018,10,23,2,0,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,115.0,1,Not_Canceled
72,29092,22,2017,12,29,0,5,Meal Plan 1,0,Room_Type 6,2,2,Online,0,0,0,199.0,0,Canceled
73,29093,102,2018,7,10,2,2,Meal Plan 1,0,Room_Type 4,2,0,Offline,0,0,0,82.45,0,Canceled
74,29094,17,2018,5,21,2,1,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,95.0,0,Canceled
75,29095,125,2018,9,7,0,4,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,136.0,2,Canceled
76,29096,107,2017,9,9,0,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,89.25,1,Canceled
77,29097,29,2018,3,18,0,1,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,79.0,0,Not_Canceled
78,29098,124,2018,12,26,1,3,Meal Plan 1,0,Room_Type 6,2,1,Online,0,0,0,156.61,2,Canceled
79,29099,85,2018,8,3,0,3,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,152.1,0,Not_Canceled
80,29100,71,2018,5,30,1,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,119.85,1,Canceled
81,29101,37,2018,5,13,0,1,Not Selected,0,Room_Type 1,1,0,Online,0,0,0,116.1,0,Canceled
82,29102,3,2018,6,27,1,0,Meal Plan 1,0,Room_Type 1,1,0,Complementary,0,0,0,0.0,0,Canceled
83,29103,5,2018,4,5,0,1,Meal Plan 1,0,Room_Type 1,1,0,Corporate,1,0,1,89.0,1,Canceled
84,29104,386,2018,10,23,2,0,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,115.0,1,Not_Canceled
85,29105,25,2018,7,2,1,1,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,187.0,0,Not_Canceled
86,29106,1,2018,4,1,0,1,Meal Plan 1,1,Room_Type 1,1,0,Corporate,1,0,3,67.0,1,Canceled
87,29107,7,2018,6,19,2,2,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,156.0,1,Canceled
88,29108,5,2018,4,4,3,5,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,126.75,0,Not_Canceled
89,29109,24,2018,10,16,2,1,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,107.1,1,Canceled
90,29110,52,2018,11,19,2,1,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,93.6,2,Canceled
91,29111,56,2018,6,8,0,1,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,120.0,0,Canceled
92,29112,2,2018,5,31,0,3,Not Selected,0,Room_Type 1,1,0,Online,0,0,0,87.78,0,Canceled
93,29113,4,2017,8,8,2,1,Meal Plan 2,0,Room_Type 1,2,0,Offline,0,0,0,94.5,0,Canceled
94,29114,60,2017,12,9,0,4,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,96.3,1,Canceled
95,29115,268,2018,4,8,2,3,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,78.0,0,Not_Canceled
96,29116,2,2018,10,11,0,1,Meal Plan 1,1,Room_Type 1,2,0,Online,0,0,0,169.0,2,Canceled
97,29117,94,2018,7,8,2,2,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,146.7,1,Canceled
98,29118,70,2017,10,22,0,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,89.25,1,Canceled
99,29119,78,2018,4,10,2,2,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,80.75,1,Canceled
100,29120,213,2018,6,7,0,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,130.0,0,Not_Canceled
101,29121,209,2018,10,21,2,3,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,128.7,1,Not_Canceled
102,29122,69,2018,3,20,2,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,90.95,1,Canceled
103,29123,67,2017,12,5,2,1,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,95.4,2,Canceled
104,29124,0,2018,10,15,0,1,Not Selected,0,Room_Type 1,1,0,Online,0,0,0,140.0,0,Canceled
105,29125,58,2018,6,10,0,1,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,116.1,1,Canceled
106,29126,5,2018,6,21,0,2,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,156.0,1,Canceled
107,29127,82,2018,3,24,1,3,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,99.45,0,Not_Canceled
108,29128,2,2018,6,10,0,2,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,136.0,1,Canceled
109,29129,26,2018,6,8,0,1,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,120.0,0,Canceled
110,29130,1,2018,11,29,0,1,Meal Plan 1,0,Room_Type 1,1,0,Offline,0,0,0,75.0,0,Canceled
111,29131,386,2018,10,23,2,0,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,115.0,1,Not_Canceled
112,29132,273,2017,7,17,0,2,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,109.0,0,Not_Canceled
113,29133,188,2018,6,15,0,2,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,130.0,0,Not_Canceled
114,29134,1,2018,2,3,0,1,Meal Plan 1,0,Room_Type 1,1,0,Corporate,0,0,0,66.0,1,Canceled
115,29135,1,2018,4,9,2,1,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,115.0,1,Canceled
116,29136,110,2018,4,20,0,2,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,90.95,0,Canceled
117,29137,25,2018,10,3,1,1,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,129.0,1,Canceled
118,29138,105,2018,6,11,2,5,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,119.85,2,Canceled
119,29139,245,2018,6,17,0,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,75.0,0,Not_Canceled
120,29140,27,2018,6,29,0,3,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,125.25,1,Canceled
121,29141,85,2018,6,20,1,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,126.9,0,Not_Canceled
122,29142,265,2018,6,24,0,2,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,109.0,0,Not_Canceled
123,29143,64,2018,4,15,2,3,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,112.2,0,Not_Canceled
124,29144,0,2017,10,1,0,1,Meal Plan 1,0,Room_Type 1,1,0,Corporate,0,0,0,109.0,1,Canceled
125,29145,36,2018,12,28,0,4,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,168.73,0,Canceled
126,29146,32,2017,9,5,2,1,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,94.5,3,Canceled
127,29147,3,2017,9,7,1,1,Meal Plan 1,0,Room_Type 1,1,0,Offline,0,0,0,98.8,0,Canceled
128,29148,8,2018,6,19,1,0,Meal Plan 2,0,Room_Type 7,2,0,Complementary,1,0,1,0.0,1,Canceled
129,29149,0,2017,8,25,0,2,Meal Plan 1,0,Room_Type 6,2,2,Online,0,0,0,156.0,1,Canceled
130,29150,34,2018,6,14,0,3,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,107.1,1,Canceled
131,29151,122,2018,5,12,0,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,105.3,1,Canceled
132,29152,116,2018,2,28,2,1,Meal Plan 1,0,Room_Type 1,1,0,Offline,0,0,0,82.0,0,Canceled
133,29153,12,2018,2,6,2,2,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,55.72,0,Canceled
134,29154,37,2018,10,13,0,3,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,105.0,0,Canceled
135,29155,10,2018,1,28,0,1,Meal Plan 1,0,Room_Type 1,1,0,Corporate,0,0,0,66.0,0,Canceled
136,29156,43,2018,5,31,0,3,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,115.5,0,Not_Canceled
137,29157,170,2018,4,8,2,3,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,78.0,0,Canceled
138,29158,1,2018,2,27,0,1,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,103.0,1,Canceled
139,29159,77,2018,5,1,2,0,Not Selected,1,Room_Type 1,2,0,Online,0,0,0,125.1,0,Canceled
140,29160,4,2018,1,28,0,3,Meal Plan 1,1,Room_Type 1,1,0,Online,0,0,0,95.0,1,Canceled
141,29161,68,2018,9,9,1,2,Meal Plan 2,0,Room_Type 1,2,1,Online,0,0,0,166.35,2,Canceled
142,29162,40,2018,5,13,1,2,Meal Plan 1,0,Room_Type 7,2,0,Online,0,0,0,203.73,2,Canceled
143,29163,188,2018,6,15,0,2,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,130.0,0,Not_Canceled
144,29164,256,2018,8,31,0,4,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,90.95,0,Not_Canceled
145,29165,16,2018,11,16,0,1,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,93.0,0,Canceled
146,29166,105,2018,10,12,0,3,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,75.0,0,Canceled
147,29167,54,2018,7,2,2,5,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,119.7,0,Not_Canceled
148,29168,222,2018,8,14,4,10,Meal Plan 1,0,Room_Type 6,2,2,Online,0,0,0,158.95,0,Not_Canceled
149,29169,17,2017,10,15,2,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,94.95,1,Canceled
150,29170,7,2018,12,30,1,2,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,120.0,0,Canceled
151,29171,6,2018,3,4,0,1,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,91.0,0,Canceled
152,29172,25,2018,4,15,2,3,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,149.4,0,Not_Canceled
153,29173,5,2018,5,24,0,2,Meal Plan 1,0,Room_Type 1,1,0,Corporate,0,0,0,100.0,0,Canceled
154,29174,18,2017,12,1,0,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,69.0,2,Canceled
155,29175,166,2018,11,1,0,3,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,110.0,0,Not_Canceled
156,29176,68,2018,4,1,2,2,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,75.65,1,Canceled
157,29177,292,2018,7,21,0,2,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,115.0,0,Not_Canceled
158,29178,0,2017,9,7,1,1,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,118.8,0,Canceled
159,29179,257,2017,7,1,0,2,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,101.5,0,Not_Canceled
160,29180,155,2018,8,1,3,9,Meal Plan 1,0,Room_Type 1,2,1,Online,0,0,0,119.71,1,Not_Canceled
161,29181,91,2018,9,14,0,3,Meal Plan 1,0,Room_Type 1,1,0,Corporate,1,3,15,65.0,0,Canceled
162,29182,76,2018,7,2,0,1,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,131.4,0,Not_Canceled
163,29183,4,2018,2,15,1,2,Meal Plan 1,0,Room_Type 1,1,0,Complementary,1,0,1,0.0,1,Canceled
164,29184,14,2018,10,22,0,1,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,160.0,0,Not_Canceled
165,29185,6,2018,10,3,1,0,Meal Plan 1,0,Room_Type 1,1,0,Corporate,0,0,0,89.0,0,Canceled
166,29186,60,2018,3,20,2,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,75.0,0,Not_Canceled
167,29187,301,2018,7,30,1,1,Meal Plan 2,0,Room_Type 1,2,0,Online,0,0,0,115.0,1,Not_Canceled
168,29188,81,2017,12,6,1,0,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,76.5,2,Canceled
169,29189,54,2018,5,12,2,3,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,132.6,0,Not_Canceled
170,29190,130,2018,11,26,2,1,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,68.0,0,Canceled
171,29191,221,2018,12,29,0,3,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,79.5,2,Not_Canceled
172,29192,1,2017,11,10,0,2,Meal Plan 1,0,Room_Type 1,1,0,Corporate,1,0,1,40.0,1,Canceled
173,29193,2,2017,12,11,0,1,Meal Plan 1,0,Room_Type 1,1,0,Offline,0,0,0,75.0,0,Canceled
174,29194,156,2018,8,21,2,1,Not Selected,1,Room_Type 1,2,0,Online,0,0,0,103.5,0,Not_Canceled
175,29195,0,2017,10,1,0,1,Meal Plan 1,0,Room_Type 1,1,0,Complementary,1,0,1,0.0,0,Canceled
176,29196,46,2018,8,24,0,3,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,168.3,2,Canceled
177,29197,17,2018,11,16,0,4,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,74.8,2,Canceled
178,29198,159,2018,9,30,2,3,Meal Plan 1,0,Room_Type 4,2,0,Online,0,0,0,134.46,2,Not_Canceled
179,29199,17,2017,11,3,0,5,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,90.95,1,Canceled
180,29200,9,2018,2,21,2,1,Not Selected,0,Room_Type 1,1,0,Online,0,0,0,79.0,0,Not_Canceled
181,29201,5,2018,5,24,0,2,Meal Plan 1,0,Room_Type 1,2,0,Corporate,0,0,0,110.0,1,Canceled
182,29202,19,2017,10,7,0,1,Meal Plan 1,0,Room_Type 1,1,0,Corporate,0,0,0,85.5,0,Canceled
183,29203,0,2018,6,17,0,1,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,129.0,1,Canceled
184,29204,29,2018,12,2,0,2,Meal Plan 1,0,Room_Type 1,2,0,Corporate,0,0,0,85.0,0,Canceled
185,29205,11,2018,10,10,1,1,Meal Plan 1,0,Room_Type 4,2,0,Offline,0,0,0,107.0,0,Canceled
186,29206,73,2018,4,3,2,1,Not Selected,0,Room_Type 1,2,1,Online,0,0,0,94.0,1,Canceled
187,29207,186,2018,7,12,0,5,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,90.95,2,Not_Canceled
188,29208,263,2017,9,21,1,0,Meal Plan 1,0,Room_Type 1,1,0,Offline,0,0,0,59.5,0,Canceled
189,29209,39,2017,8,14,0,2,Meal Plan 2,0,Room_Type 1,2,0,Offline,0,0,0,109.0,1,Canceled
190,29210,19,2018,11,2,0,1,Meal Plan 1,0,Room_Type 1,1,0,Offline,0,0,0,75.0,0,Canceled
191,29211,5,2017,9,20,2,0,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,92.4,1,Canceled
192,29212,0,2018,6,23,0,1,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,69.84,0,Canceled
193,29213,15,2017,8,27,0,2,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,80.0,1,Canceled
194,29214,141,2018,9,23,0,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,128.8,1,Canceled
195,29215,0,2018,8,20,0,1,Meal Plan 1,0,Room_Type 4,3,0,Online,0,0,0,168.3,2,Canceled
196,29216,59,2017,10,29,0,2,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,85.0,0,Canceled
197,29217,56,2018,11,16,0,2,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,75.0,0,Canceled
198,29218,36,2018,5,21,2,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,126.9,2,Canceled
199,29219,93,2018,10,15,2,1,Meal Plan 1,0,Room_Type 1,1,0,Online,0,0,0,115.0,0,Not_Canceled
200,29220,92,2018,10,29,1,1,Meal Plan 1,0,Room_Type 2,0,2,Online,0,0,0,81.5,2,Canceled
201,29221,8,2018,6,26,2,1,Meal Plan 1,0,Room_Type 4,2,0,Offline,0,0,0,107.0,0,Canceled
202,29222,12,2017,8,30,1,0,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,90.0,2,Canceled
203,29223,141,2018,11,25,0,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,90.0,0,Canceled
204,29224,37,2018,2,22,1,2,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,69.9,0,Not_Canceled
205,29225,88,2018,3,23,0,4,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,88.7,0,Not_Canceled
206,29226,0,2017,8,3,1,0,Meal Plan 1,0,Room_Type 4,2,0,Complementary,0,0,0,0.0,0,Canceled
207,29227,81,2018,10,21,1,2,Meal Plan 1,0,Room_Type 1,2,1,Online,0,0,0,135.0,0,Not_Canceled
208,29228,4,2017,10,13,0,1,Meal Plan 1,0,Room_Type 1,1,0,Complementary,0,0,0,0.0,0,Canceled
209,29229,57,2017,9,19,2,3,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,66.53,1,Canceled
210,29230,8,2018,2,5,0,2,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,91.0,1,Canceled
211,29231,1,2018,8,24,0,2,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,99.33,1,Canceled
212,29232,52,2018,5,27,1,2,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,85.0,0,Canceled
213,29233,71,2018,12,6,0,4,Meal Plan 1,0,Room_Type 1,3,0,Offline,0,0,0,105.0,0,Canceled
214,29234,192,2018,6,24,0,2,Meal Plan 1,0,Room_Type 1,1,0,Offline,0,0,0,95.0,0,Canceled
215,29235,1,2018,7,12,0,3,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,116.27,1,Canceled
216,29236,22,2017,9,1,1,5,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,105.0,2,Canceled
217,29237,100,2018,9,28,0,4,Meal Plan 1,0,Room_Type 1,2,0,Online,0,0,0,100.0,0,Not_Canceled
218,29238,4,2018,3,23,0,1,Meal Plan 1,0,Room_Type 1,2,0,Offline,0,0,0,72.0,1,Canceled
219,29239,1,2018,6,14,0,4,Not Selected,0,Room_Type 1,1,0,Online,0,0,0,121.5,1,Canceled
220,29240,31,2018,9,16,0,1,Not Selected,0,Room_Type 1,2,0,Online,0,0,0,125.1,1,Canceled
221,29241,97,2017,12,29,0,4,Meal Plan 1,0,Room_Type 4,2,0,Offline,0,0,0,60.5,1,Canceled
